lat	lon	name
42.47	71.28	"Bedford"
42.58	70.92	"Beverly"
42.37	71.03	"Boston"
41.78	70.50	"Cape Cod"
41.67	69.97	"Chatham"
42.57	71.60	"FortDevens"
41.67	70.28	"Hyannis"
42.72	71.12	"Lawrence"
41.40	70.62	"MarthasVine"
41.25	70.07	"Nantucket"
41.68	70.97	"New Bedford"
42.18	71.18	"Norwood"
41.65	70.52	"OtisANGB"
42.26	73.18	"Pittsfield"
42.15	70.93	"SWeymouth"
42.17	72.72	"Westfield"
42.20	72.53	"Westover"
42.27	71.87	"Worcester"
41.91	70.73	"Carver"
42.20	72.53	"Chicopee"
40.77	73.98	"New York"
41.73	71.43	"Providence"
41.22	72.67	"New Haven"
41.17	73.13	"Bridgeport"
41.04	73.71	"Purchase"
42.75	73.80	"Albany"
41.49	71.31	"Newport"
